species;cultivar_variety;family;plant_functional_type;population_year;refkey;gm_original;gm_original_SD;gm_original_SE;number_of_measurements;unit_original;gm_1bar;gm;method;variant;method_reference;air_pressure;PPFD;blue_light;temperature;temperature_type;AnCi_min;AnCi_max;AnCi_n;Ca_gas_exchange;Ca_gm;Ci_calc;rH;VPD;O2;flow_rate;cuvette_size;device_gas_exchange;fluorometer_spectroscope;hour;leaves_used;growth_location;growth_longitude;growth_latitude;growth_elevation;growth_environment;hydroponic;potted;pot_size;growth_irradiance;growth_temperature_day;growth_temperature_night;growth_rH;growth_Ca;growth_daylength;plant_age;An;gs_CO2;Ci;Cc;Ci-Cc;Rd;Rl;photorespiration;Gammastar;Cistar;Vcmax_Ci;Vcmax_Ci_25;Vcmax_Cc;Vcmax_Cc_25;Rubisco_constants_Ci_reference;Rubisco_constants_Cc_reference;Jmax_Ci;Jmax_Cc;TPU;Vpmax;J_fluorescence;kCA_activity;CA_activity;Delta_18O;Delta_13C;delta_13C;bulk_elastic_modulus;K_leaf;K_xylem;K_outside_xylem;N_g_m2;N_%DW;K_g_m2;K_%DW;P_g_m2;P_%DW;N%_Rubisco;N%_bioenergetics;N%_light_harvesting;N%_photosynthetic_apparatus;N%_cell_wall;Soluble_Protein;Rubisco;Rubisco_activity;Rubisco_activation_state;Chl_a;Chl_b;Chl_total;Chl_a/b;leaf_starch_%DW;leaf_starch_g_m2;LMA;leaf_width;T_leaf;D_leaf;T_mesophyll;T_palisade_mesophyll;T_spongy_mesophyll;fias_mesophyll;interveinal_distance;T_epidermis_adaxial;T_epidermis_abaxial;stomatal_index;stomatal_density;stomatal_density_adaxial;stomatal_density_abaxial;stomatal_area;stomatal_area_adaxial;stomatal_area_abaxial;stomatal_length;stomatal_length_adaxial;stomatal_length_abaxial;stomatal_width;T_cw;T_cyt;T_chloroplast;chloroplast_length;chloroplast_width;chloroplast_surface_area;Sm;Sc;Sb;ls_rel;lm_rel;lb_rel;Ls;Lm;location_in_reference;outlier;included_in_Knauer_et_al_2022
Glycine max;cv. Kent;Fabaceae;C3 annual herbaceous;;Bunce_2016a;0,78;;;;mol m-2 s-1;0,78;0,78;L;;Bunce_2009;;1500;;25;leaf;;;;400;300;;68;1;;;;LI-6400;;;fourth stem trifoliate leaves a few days after full area expansion;;;;;controlled environment chamber;0;1;;1000;26;20;;400;14;;28;0,512;328;291;37;;;;;;115;115;132;132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Table 1;0;1
Glycine max;cv. Kent;Fabaceae;C3 annual herbaceous;;Bunce_2016b;0,37;;;;mol m-2 s-1 bar-1;0,373;0,373;C;;Sharkey_2007;100,8;;;25;leaf;50;1200;;;;;;;;;2,5;CIRAS-2, CIRAS-3;;;recently fully expanded third trifoliolate leaves;;;;;indoor chamber;0;1;;1000;25;19;70;380;13;;;;;;;;;;;;;;218;218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 5 caption;0;1
Glycine max;cv. Lanc;Fabaceae;C3 annual herbaceous;;Tomeo_2017;0,169;0,03;;5;mol m-2 s-1 bar-1;0,168;0,168;F;variable J;Harley_1992;99;1200;10;25;;50;2000;;325;325;;53;1,5;;300;6;LI-6400;LI-6400-40;;middle leaflet of the fourth or fifth trifoliate, fully expanded;;;;;growth chamber;0;1;3,75;550;25;21;;;16;;19,57;0,166;;;;;0,73;;;43,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,2;;246,5;0,111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 1D;0;1
Glycine max;cv. Lincoln;Fabaceae;C3 annual herbaceous;;Bunce_2016a;0,77;;;;mol m-2 s-1;0,77;0,77;L;;Bunce_2009;;1500;;25;leaf;;;;400;300;;68;1;;;;LI-6400;;;fourth stem trifoliate leaves a few days after full area expansion;;;;;controlled environment chamber;0;1;;1000;26;20;;400;14;;28,4;0,453;317;277;40;;;;;;118;118;137;137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Table 1;0;1
Glycine max;cv. Lincoln;Fabaceae;C3 annual herbaceous;year 2012;Koester_2016;0,362;;;;mol m-2 s-1 bar-1;0,358;0,358;F;constant J;Harley_1992, Sun_2014;98,8;1750;;25;;50;2000;;400;400;;62;1,19;;;;LI-6400;LI-6400-40;;sunlit, fully expanded leaves;;271,77;40;;field grown;0;0;;;;;;;;;;;;;;;;;;;;;131,53;131,53;;;;233,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 4: R5 growth stage;0;1
Glycine max;cv. Lincoln;Fabaceae;C3 annual herbaceous;year 2013;Koester_2016;0,193;;;;mol m-2 s-1 bar-1;0,191;0,191;F;constant J;Harley_1992, Sun_2014;98,8;1750;;25;;50;2000;;400;400;;62;1,19;;;;LI-6400;LI-6400-40;;sunlit, fully expanded leaves;;271,77;40;;field grown;0;0;;;;;;;;;;;;;;0,46;;;;;;;165,84;165,84;;;;275,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 4: R5 growth stage;0;1
Glycine max;cv. Mandell;Fabaceae;C3 annual herbaceous;year 2012;Koester_2016;0,175;;;;mol m-2 s-1 bar-1;0,173;0,173;F;constant J;Harley_1992, Sun_2014;98,8;1750;;25;;50;2000;;400;400;;62;1,19;;;;LI-6400;LI-6400-40;;sunlit, fully expanded leaves;;271,77;40;;field grown;0;0;;;;;;;;;;;;;;1,64;;;;;;;161,58;161,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 4: R5 growth stage;0;1
Glycine max;cv. Mika;Fabaceae;C3 annual herbaceous;;Tomeo_2017;0,186;0,025;;6;mol m-2 s-1 bar-1;0,184;0,184;F;variable J;Harley_1992;99;1200;10;25;;50;2000;;325;325;;53;1,5;;300;6;LI-6400;LI-6400-40;;middle leaflet of the fourth or fifth trifoliate, fully expanded;;;;;growth chamber;0;1;3,75;550;25;21;;;16;;22,17;0,184;;;;;1,12;;;38,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31,5;;197,3;0,167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 1D;0;1
Glycine max;cv. NC-Roy;Fabaceae;C3 annual herbaceous;;Singh_2019;0,863;;0,19;3;mol m-2 s-1;0,863;0,708;L;;Bunce_2009;;1500;;28;leaf;;;;400;250;;52;1,79;;;;LI-6400XT;LI-6400-40;09:00-13:00;uppermost fully expanded leaves;Beltsville, MD, USA;;;;controlled environment Soil-Plant-Atmosphere -Research Chamber;0;1;;;28;22;57;420;16;38;28,44;0,23;;;;;;;;;;;208,05;160,01;;Sharkey_2007;;;;;;;;;;;;;;;;5,352;;;;0,252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39,19;10,96;49,85;;;Figure 2D: daily mean T of 26degC, 0.5 mM P;0;0
Glycine max;cv. Perry;Fabaceae;C3 annual herbaceous;;Bunce_2016a;2,1;;;;mol m-2 s-1;2,1;2,1;L;;Bunce_2009;;1500;;25;leaf;;;;400;300;;68;1;;;;LI-6400;;;fourth stem trifoliate leaves a few days after full area expansion;;;;;controlled environment chamber;0;1;;1000;26;20;;400;14;;30,8;0,552;322;306;16;;;;;;121;121;127;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Table 1;1;0
Glycine max;cv. PI-41;Fabaceae;C3 annual herbaceous;;Bunce_2016a;1,09;;;;mol m-2 s-1;1,09;1,09;L;;Bunce_2009;;1500;;25;leaf;;;;400;300;;68;1;;;;LI-6400;;;fourth stem trifoliate leaves a few days after full area expansion;;;;;controlled environment chamber;0;1;;1000;26;20;;400;14;;25,8;0,269;283;257;26;;;;;;117;117;130;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Table 1;0;1
Glycine max;cv. Private 3-11;Fabaceae;C3 annual herbaceous;year 2012;Koester_2016;0,487;;;;mol m-2 s-1 bar-1;0,481;0,481;F;constant J;Harley_1992, Sun_2014;98,8;1750;;25;;50;2000;;400;400;;62;1,19;;;;LI-6400;LI-6400-40;;sunlit, fully expanded leaves;;271,77;40;;field grown;0;0;;;;;;;;;;;;;;1,43;;;;;;;156,16;156,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,422;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 4: R5 growth stage;0;1
Glycine max;cv. Private 3-11;Fabaceae;C3 annual herbaceous;year 2013;Koester_2016;0,299;;;;mol m-2 s-1 bar-1;0,295;0,295;F;constant J;Harley_1992, Sun_2014;98,8;1750;;25;;50;2000;;400;400;;62;1,19;;;;LI-6400;LI-6400-40;;sunlit, fully expanded leaves;;271,77;40;;field grown;0;0;;;;;;;;;;;;;;0,98;;;;;;;148,54;148,54;;;;271,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 4: R5 growth stage;0;1
Glycine max;cv. Private 3-13;Fabaceae;C3 annual herbaceous;year 2012;Koester_2016;0,394;;;;mol m-2 s-1 bar-1;0,39;0,39;F;constant J;Harley_1992, Sun_2014;98,8;1750;;25;;50;2000;;400;400;;62;1,19;;;;LI-6400;LI-6400-40;;sunlit, fully expanded leaves;;271,77;40;;field grown;0;0;;;;;;;;;;;;;;1,2;;;;;;;129,94;129,94;;;;262,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 4: R5 growth stage;0;1
Glycine max;cv. Private 3-14;Fabaceae;C3 annual herbaceous;year 2012;Koester_2016;0,253;;;;mol m-2 s-1 bar-1;0,25;0,25;F;constant J;Harley_1992, Sun_2014;98,8;1750;;25;;50;2000;;400;400;;62;1,19;;;;LI-6400;LI-6400-40;;sunlit, fully expanded leaves;;271,77;40;;field grown;0;0;;;;;;;;;;;;;;1,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,389;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 4: R5 growth stage;0;1
Glycine max;cv. Private 3-19;Fabaceae;C3 annual herbaceous;year 2012;Koester_2016;0,193;;;;mol m-2 s-1 bar-1;0,19;0,19;F;constant J;Harley_1992, Sun_2014;98,8;1750;;25;;50;2000;;400;400;;62;1,19;;;;LI-6400;LI-6400-40;;sunlit, fully expanded leaves;;271,77;40;;field grown;0;0;;;;;;;;;;;;;;1,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 4: R5 growth stage;0;1
Glycine max;cv. Private 3-9;Fabaceae;C3 annual herbaceous;year 2012;Koester_2016;0,221;;;;mol m-2 s-1 bar-1;0,218;0,218;F;constant J;Harley_1992, Sun_2014;98,8;1750;;25;;50;2000;;400;400;;62;1,19;;;;LI-6400;LI-6400-40;;sunlit, fully expanded leaves;;271,77;40;;field grown;0;0;;;;;;;;;;;;;;1,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 4: R5 growth stage;0;1
Glycine max;cv. Resnik;Fabaceae;C3 annual herbaceous;year 2012;Koester_2016;0,342;;;;mol m-2 s-1 bar-1;0,338;0,338;F;constant J;Harley_1992, Sun_2014;98,8;1750;;25;;50;2000;;400;400;;62;1,19;;;;LI-6400;LI-6400-40;;sunlit, fully expanded leaves;;271,77;40;;field grown;0;0;;;;;;;;;;;;;;1,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 4: R5 growth stage;0;1
Glycine max;cv. Ripley;Fabaceae;C3 annual herbaceous;;Bunce_2016a;0,76;;;;mol m-2 s-1;0,76;0,76;L;;Bunce_2009;;1500;;25;leaf;;;;400;300;;68;1;;;;LI-6400;;;fourth stem trifoliate leaves a few days after full area expansion;;;;;controlled environment chamber;0;1;;1000;26;20;;400;14;;23,7;0,238;279;242;37;;;;;;101;101;118;118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Table 1;0;1
Glycine max;cv. Ross;Fabaceae;C3 annual herbaceous;year 2012;Koester_2016;0,144;;;;mol m-2 s-1 bar-1;0,142;0,142;F;constant J;Harley_1992, Sun_2014;98,8;1750;;25;;50;2000;;400;400;;62;1,19;;;;LI-6400;LI-6400-40;;sunlit, fully expanded leaves;;271,77;40;;field grown;0;0;;;;;;;;;;;;;;1,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 4: R5 growth stage;0;1
Glycine max;cv. Spencer;Fabaceae;C3 annual herbaceous;;Bunce_2016a;2,68;;;;mol m-2 s-1;2,68;2,68;L;;Bunce_2009;;1500;;25;leaf;;;;400;300;;68;1;;;;LI-6400;;;fourth stem trifoliate leaves a few days after full area expansion;;;;;controlled environment chamber;0;1;;1000;26;20;;400;14;;29;0,455;314;297;17;;;;;;118;118;124;124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Table 1;1;0
Glycine max;cv. Spencer;Fabaceae;C3 annual herbaceous;;Bunce_2019;1,8;;;3;mol m-2 s-1;1,8;1,8;L;;Bunce_2009;;1500;;25;leaf;100;1200;12;400;;;62;1,2;;;;CIRAS-3;;;third main stem trifoliolate leaves within a few days after those leaves had reached maximum area;;;;;controlled-environment chamber;0;1;;1000;20;20;;;12;;33,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Table 1: 20degC growth temperature, 25degC measurement temperature;1;0
Glycine max;cv. Spencer;Fabaceae;C3 annual herbaceous;;Singh_2016;1;;0,47;2;mol m-2 s-1;1;0,821;C;;Sharkey_2007;;1500;;28;leaf;50;1500;;400;;;52;1,79;;;;LI-6400XT;LI-6400-40;;;;;;;controlled environment growth chamber;0;1;7,6;900;28;22;60;;12;;43,6;;;;;2,5;;;;;176,6;135,82;214;164,59;;Sharkey_2007;265,4;;19,5;;;;;;;;;;;;;;;;0,317;;;;;;;;;;;;;0,965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;19,4;Table 2: 400ppm CO2: 0.5mM P (highest P treatment): Sharkey;0;1
Glycine max;cv. Spencer;Fabaceae;C3 annual herbaceous;;Singh_2016;0,43;;0,074;2;mol m-2 s-1;0,43;0,353;L;;Bunce_2009;;1500;;28;leaf;50;1500;;400;400;;52;1,79;;;;LI-6400XT;LI-6400-40;;;;;;;controlled environment growth chamber;0;1;7,6;900;28;22;60;;12;;43,6;;;;;2,5;;;;;176,6;135,82;268;206,12;;Sharkey_2007;265,4;;19,5;;;;;;;;;;;;;;;;0,317;;;;;;;;;;;;;0,965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;23,6;Table 2: 400ppm CO2: 0.5mM P (highest P treatment): Bunce;0;1
Glycine max;cv. Spencer;Fabaceae;C3 annual herbaceous;;Singh_2016;0,66;;0,205;2;mol m-2 s-1;0,66;0,542;F;constant J;Harley_1992;;1500;;28;leaf;50;1500;;400;;;52;1,79;;;;LI-6400XT;LI-6400-40;;;;;;;controlled environment growth chamber;0;1;7,6;900;28;22;60;;12;;43,6;;;;;2,5;;;;;176,6;135,82;229;176,12;;Sharkey_2007;265,4;;19,5;;;;;;;;;;;;;;;;0,317;;;;;;;;;;;;;0,965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;18,2;Table 2: 400ppm CO2: 0.5mM P (highest P treatment): constant-J;0;0
Glycine max;cv. Spencer;Fabaceae;C3 annual herbaceous;;Singh_2016;0,93;0,156;;2;mol m-2 s-1;0,93;0,763;F;variable J;Martins_2013;;1500;;28;leaf;50;1500;;400;400;;52;1,79;;;;LI-6400XT;LI-6400-40;;;;;;;controlled environment growth chamber;0;1;7,6;900;28;22;60;;12;;43,6;;;;;2,5;;;;;176,6;135,82;215;165,36;;Sharkey_2007;265,4;;19,5;;;;;;;;;;;;;;;;0,317;;;;;;;;;;;;;0,965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;16,75;Table 2: 400ppm CO2: 0.5mM P (highest P treatment): mean of Martins-Val and Martins-Yin;0;1
Glycine max;cv. Spencer;Fabaceae;C3 annual herbaceous;;Singh_2018;0,427;;0,077;2;mol m-2 s-1;0,427;0,35;C;;Sharkey_2007;;1500;;28;leaf;50;1500;;400;;;52;1,79;;;;LI-6400XT;LI-6400-40;09:00-14:00;uppermost fully expanded leaves from the stem apex;Beltsville, MD, USA;;;;controlled environmental growth chamber;0;1;7,6;900;28;22;;400;12;52;34,4;;;;;;3,71;;;;;;270;207,66;;Sharkey_2007;;269;18,1;;;;;;;;;;;;;;1,64;;;;;;;;;;;;;;;1,015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,7;18,5;Table 3: value at 400 CO2 and 5.0 K supplied (control);0;1
Glycine max;cv. Thorne;Fabaceae;C3 annual herbaceous;;Hay_2017;0,244;;;;mol m-2 s-1;0,244;0,228;F;variable J;Harley_1992;;1500;;26;leaf;;;;400;400;;;;;;;LI-6400;;09:00-13:00;the central leaflet ofthe youngest most fully expanded trifoliate.;;;;;greenhouse;0;0;;;27;20;50;;13;;;;;;;;;;;;115;105,3;;;;;151;;;;;;;;;-27,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,72;;Table 1: WT;0;1
Glycine max;cv. Vint;Fabaceae;C3 annual herbaceous;;Tomeo_2017;0,205;0,02;;6;mol m-2 s-1 bar-1;0,203;0,203;F;variable J;Harley_1992;99;1200;10;25;;50;2000;;325;325;;53;1,5;;300;6;LI-6400;LI-6400-40;;middle leaflet of the fourth or fifth trifoliate, fully expanded;;;;;growth chamber;0;1;3,75;550;25;21;;;16;;22,37;0,192;;;;;0,99;;;40,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,5;;215,3;0,133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 1D;0;1
Glycine max;cv. Wabash;Fabaceae;C3 annual herbaceous;;Bunce_2016a;1,11;;;;mol m-2 s-1;1,11;1,11;L;;Bunce_2009;;1500;;25;leaf;;;;400;300;;68;1;;;;LI-6400;;;fourth stem trifoliate leaves a few days after full area expansion;;;;;controlled environment chamber;0;1;;1000;26;20;;400;14;;28,1;0,569;333;300;33;;;;;;114;114;128;128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Table 1;0;1
Glycine max;cv. Williams;Fabaceae;C3 annual herbaceous;year 2012;Koester_2016;0,185;;;;mol m-2 s-1 bar-1;0,183;0,183;F;constant J;Harley_1992, Sun_2014;98,8;1750;;25;;50;2000;;400;400;;62;1,19;;;;LI-6400;LI-6400-40;;sunlit, fully expanded leaves;;271,77;40;;field grown;0;0;;;;;;;;;;;;;;1,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 4: R5 growth stage;0;1
Glycine max;cv. Woodworth;Fabaceae;C3 annual herbaceous;year 2012;Koester_2016;0,165;;;;mol m-2 s-1 bar-1;0,163;0,163;F;constant J;Harley_1992, Sun_2014;98,8;1750;;25;;50;2000;;400;400;;62;1,19;;;;LI-6400;LI-6400-40;;sunlit, fully expanded leaves;;271,77;40;;field grown;0;0;;;;;;;;;;;;;;1,22;;;;;;;155,71;155,71;;;;291,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 4: R5 growth stage;0;1
Glycine max;cv. Woodworth;Fabaceae;C3 annual herbaceous;year 2013;Koester_2016;0,538;;;;mol m-2 s-1 bar-1;0,531;0,531;F;constant J;Harley_1992, Sun_2014;98,8;1750;;25;;50;2000;;400;400;;62;1,19;;;;LI-6400;LI-6400-40;;sunlit, fully expanded leaves;;271,77;40;;field grown;0;0;;;;;;;;;;;;;;0,5;;;;;;;127,87;127,87;;;;228,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 4: R5 growth stage;0;1
Glycine max;cv. Wyan;Fabaceae;C3 annual herbaceous;;Tomeo_2017;0,226;0,019;;5;mol m-2 s-1 bar-1;0,224;0,224;F;variable J;Harley_1992;99;1200;10;25;;50;2000;;325;325;;53;1,5;;300;6;LI-6400;LI-6400-40;;middle leaflet of the fourth or fifth trifoliate, fully expanded;;;;;growth chamber;0;1;3,75;550;25;21;;;16;;24,69;0,21;;;;;1,32;;;36,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30,8;;199,4;0,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 1D;0;1
Glycine max;cv. Zane;Fabaceae;C3 annual herbaceous;year 2012;Koester_2016;0,174;;;;mol m-2 s-1 bar-1;0,172;0,172;F;constant J;Harley_1992, Sun_2014;98,8;1750;;25;;50;2000;;400;400;;62;1,19;;;;LI-6400;LI-6400-40;;sunlit, fully expanded leaves;;271,77;40;;field grown;0;0;;;;;;;;;;;;;;1,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 4: R5 growth stage;0;1
Glycine max;cvs. A3127, Clark, IA3010, 93B15;Fabaceae;C3 annual herbaceous;;Sun_2014a;1,227;;;;mol m-2 s-1 bar-1;1,227;1,227;F;constant J;Harley_1992;;1500;10;25;leaf;50;1500;11;400;;;65;1,11;;500;;LI-6400LCF;LI-6400LCF;;fully expanded young leaves;Champaign, IL, USA;;;;field grown (FACE);0;0;;;;;;370;;;;;;;;;;;;;;;;;;Bernacchi_2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 5A: R5, C370, gm_CJ;0;1
Glycine max;cvs. A3127, Clark, IA3010, 93B15;Fabaceae;C3 annual herbaceous;;Sun_2014a;0,669;;;;mol m-2 s-1 bar-1;0,669;0,669;F;variable J;Harley_1992;;1500;10;25;leaf;50;1500;11;400;;;65;1,11;;500;;LI-6400LCF;LI-6400LCF;;fully expanded young leaves;Champaign, IL, USA;;;;field grown (FACE);0;0;;;;;;370;;;;;;;;;;;;;;;;;;Bernacchi_2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 5A: R5, C370, gm_VJ;0;1
Glycine max;cvs. A3127, Clark, IA3010, 93B15;Fabaceae;C3 annual herbaceous;;Sun_2014a;1,959;;;;mol m-2 s-1 bar-1;1,959;1,959;C;;Sharkey_2007;;1500;10;25;leaf;50;1500;11;400;;;65;1,11;;500;;LI-6400LCF;LI-6400LCF;;fully expanded young leaves;Champaign, IL, USA;;;;field grown (FACE);0;0;;;;;;370;;;;;;;;;3,46;;;;;;112,62;112,62;;Bernacchi_2002;;159,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 5A: R5, C370, gm_M2c;1;0
Glycine max;cvs. A3127, Clark, IA3010, 93B15;Fabaceae;C3 annual herbaceous;;Sun_2014a;1,413;;;;mol m-2 s-1 bar-1;1,413;1,413;C;;Ethier_2004;;1500;10;25;leaf;50;1500;11;400;;;65;1,11;;500;;LI-6400LCF;LI-6400LCF;;fully expanded young leaves;Champaign, IL, USA;;;;field grown (FACE);0;0;;;;;;370;;;;;;;;;3,65;;;;;;124,27;124,27;;Bernacchi_2002;;161,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 5A: R5, C370, gm_M4c;0;1
Glycine max;genotype DJakal;Fabaceae;C3 annual herbaceous;;Shrestha_2019b;0,238;0,039;;5;mol m-2 s-1 bar-1;0,238;0,238;I;;Evans_1986, Tazoe_2009, Farquhar_2012;;1300;10;25;leaf;;;;400;400;;49;1,6;;;12;LI-6400XT;TGA100A;;youngest fully expanded leaves;Camden, NSW, Australia;;;;controlled-environment growth room;0;1;7;800;27;19;75;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 1: mean of values at 25degC;0;1
Glycine max;genotype EC-113396;Fabaceae;C3 annual herbaceous;;Vengavasi_2018;0,129;;;;mol m-2 s-1 bar-1;0,128;0,105;C;;Sharkey_2007;98,8;1200;;28;block;50;1000;10;380;;;50;1,89;;;2;LI-6400XT;LI-6400-40;08:00-11:30;central one-third region of uppermost fully expanded leaves;;;;;field grown;0;0;;;;;;;;;16,53;0,043;300,4;;;1,78;;;;;;;59,05;45,41;;;;136,48;7,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,45;;;30,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 1d: sufficient P;0;1
Glycine max;genotype EC-232019;Fabaceae;C3 annual herbaceous;;Vengavasi_2018;0,236;;;;mol m-2 s-1 bar-1;0,233;0,191;C;;Sharkey_2007;98,8;1200;;28;block;50;1000;10;380;;;50;1,89;;;2;LI-6400XT;LI-6400-40;08:00-11:30;central one-third region of uppermost fully expanded leaves;;;;;field grown;0;0;;;;;;;;;22,79;0,147;218,1;;;2,67;;;;;;;115,15;88,57;;;;154,92;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,95;;;26,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 1d: sufficient P;0;1
